DIST_CODE,DIST_NAME,RETAILER,LAPU_SIM,ADDRESS,LATITUDE,LONGITUDE,LANDMARK,Country,State,DISTRICT,VILLAGE,TEHSIL,PINCODE,CONTACT_NUM,CONTACT,CONTACT_EMAIL,EVD_FLAG,ACT_RECHARGE,GCMO,PRODUCT_TYPE,RETAILER_CATEGORY,RETAILER_BUS,SIGNAGE_TYPE,RETAILER_TYPE,SALES
1056793,Gaurav Sales,KOMAL MOBILE POINT,7770900001,"GONER MOD, NEAR CHOKHI DHANI, TONK ROAD, JAIPUR",26.766808,75.836115,NEAR CHOKHI DHANI,India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302033,9829510818,GHANSHYAM SHARMA,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,B,TELECOM,NA,MULTI BRANDED,96
1056793,Gaurav Sales,RK MOBILE,7770900002,"BEHIND CHEELGAADI, PLOT NO. 2, AIRPORT ROAD",26.815323,75.80004,"BEHIND CHEELGAADI, SANGANER",India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302011,9694374358,MAHESH SUWALKI,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,C,TELECOM,NONLIT,MULTI BRANDED,23
1056793,Gaurav Sales,PADAM PRABHU FANCY STORE,7770900002,"3A, SURYA NAGAR, TAARON KI KOOT",26.835894,75.794229,TAARON KI KOOT,India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302018,9929688693,VINOD KUMAR JAIN,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,D,GENERAL STORE,NA,MULTI BRANDED,27
1056793,Gaurav Sales,RAJ MOBILE AND ELECTRICALS,7770900003,"KAGZI MOHALLA KE PAAS, PURANA TEMPO STAND, SANGANER",26.821862,75.774276,"PURANA TEMPO STAND, SANGANER",India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302011,9314581549,SIRAJ MOHAMMAD,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,C,OTHER,NA,MULTI BRANDED,30
1056793,Gaurav Sales,SHREE BALAJI MOBILE AND COMPUTERS,7770900003,"SHOP NO. - C5, DIGGI MALPURA ROAD, NEAR SAWAI MADHOPUR RAILWAY LINE",26.80869,75.777776,NEAR SAWAI MADHOPUR LINE,India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302011,9602420208,OM PRAKASH SAINI,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,A+,TELECOM,NA,MULTI BRANDED,181
1056793,Gaurav Sales,VIJAY MOBILE POINT,7770900004,"MALPURA GATE, DIGGI ROAD, SANGANER","26.803734,",75.773504,OPP. KABRISTAN,India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302011,9928587716,RAM RATAN CHOUDHARY,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,B,TELECOM,LIT,MULTI BRANDED,141
1056793,Gaurav Sales,JAI MATA DI MOBILE,7770900004,"MALPURA GATE, SANGANER",26.81156,75.781711,NEAR MALPURA GATE,India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302011,8003403270,RADHA MOHAN SAINI,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,A+,TELECOM,NA,MULTI BRANDED,76
1056793,Gaurav Sales,CHOUDHARY ENTERPRISES,7770900005,"SHOP NO. - 11, OPP. AGARWAL HOSPITAL, STATION ROAD, SANGANER",26.811686,75.779674,OPP. AGARWAL HOSIPTAL,India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302011,9829012730,MAHADEV CHOUDHARY,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,A+,TELECOM,LIT,MULTI BRANDED,117
1056793,Gaurav Sales,PUJA MOBILE CENTER,7770900005,"SANGANER RAILWAY STATION ROAD, NEAR KOHINOOR CINEMA",26.812402,75.778218,NEAR KOHINOOR CINEMA,India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302011,9928707701,MURLI MANOHAR SHARMA,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,B,TELECOM,NA,MULTI BRANDED,178
1056793,Gaurav Sales,VIJAY MOBILE CENTER,7770900006,"SANGANER RAILWAY STATION ROAD, OPP. SANGAM CINEMA",26.812866,75.774568,OPP. SANGAM CINEMA,India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302011,9314329215,VIJAY KUMAR SINGH,,YES,RECHARGE,GCMO,STARTER PACK AND RECHARGE,B,TELECOM,LIT,MULTI BRANDED,93
1056793,Gaurav Sales,VISHAL ENTERPRISES,7770900006,"RAMPURA ROAD, SANGANER, KALYAN PURA",26.814468,75.772995,OPP. WIZARD INDIA,India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302011,9024648636,AVINASH KHANDELWAL,,YES,RECHARGE,GCMO,RECHARGE COUPON,E,GENERAL STORE,NONLIT,MULTI BRANDED,152
1056793,Gaurav Sales,MANSI MOBILE POINT,7770900007,"RAMPURA ROAD, SANGANER",26.820137,75.761875,RAMPURA ROAD,India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302011,9929985449,HEMRAJ,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,C,TELECOM,NONLIT,MULTI BRANDED,88
1056793,Gaurav Sales,CHOUDHARY MOBILE POINT,7770900007,"SHOP NO. 28, GANPATI NAGAR, RAMPURA ROAD, SANGANER",26.820099,75.76209,RAMPURA ROAD,India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302011,9352641913,GOPAL CHOUDHARY,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,B,TELECOM,LIT,MULTI BRANDED,90
1056793,Gaurav Sales,RATHORE MOBILE POINT,7770900008,"SHOP NO. 16,17,18, BAIJNATH GUEST GHOUSE, RAMPURA ROAD, SANGANER",26.820367,75.76106,RAMPURA ROAD,India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302011,9983020202,AJIT SINGH RATHORE,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,A+,TELECOM,LIT,MULTI BRANDED,70
1056793,Gaurav Sales,USHA MOBILE AND REPAIRING CENTER,7770900008,"ANITA COLONY D, RAMPURA ROAD, SANGANER",26.818706,75.767021,RAMPURA ROAD,India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302011,9602420253,AMIT PAREEK,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,A+,TELECOM,NA,MULTI BRANDED,156
1056793,Gaurav Sales,SHRI RAM MOBILE POINT,7770900009,"PRATAP VIHAR COLONY, RAMPURA ROAD, SANGANER",26.818591,75.768405,RAMPURA ROAD,India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302011,9269182410,BHANWAR,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,A+,TELECOM,NONLIT,MULTI BRANDED,150
1056793,Gaurav Sales,RIDHI SIDHI TRADING COMPANY,7770900009,"RAMPURA ROAD, SANGANER",26.819558,75.764972,RAMPURA ROAD,India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302011,9166625441,RAJESH KHANDELWAL,,YES,RECHARGE,GCMO,RECHARGE COUPON,E,GENERAL STORE,NONLIT,MULTI BRANDED,108
1056793,Gaurav Sales,USHA MOBILE POINT,7770900010,"JIVAN VIHAR, RAMPURA ROAD, OPP. ARYAN INTERNATION ACADEMY SANGANER",26.820688,75.760927,RAMPURA ROAD,India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302011,9602420253,AMIT PAREEK,,YES,RECHARGE,GCMO,RECHARGE COUPON,E,TELECOM,NONLIT,MULTI BRANDED,99
1056793,Gaurav Sales,AGARWAL DEPARTMENTAL STORE,7770900010,"100/85 SECTOR 10, KUMBHA MARG, PRATAP NAGAR, JAIPUR",26.802421,75.822632,"KUMBHA MARG, PRATAP NAGAR",India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302033,9887240190,SUNIL AGARWAL,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,B,GENERAL STORE,GS & NONLIT,MULTI BRANDED,26
1056793,Gaurav Sales,SHRI RAM DEPARTMENTAL STORE,7770900011,"192/322, KUMBHA MARG, PRATAP NAGAR, JAIPUR",26.803254,75.823093,"SECTOR 19, KUMBHA MARG",India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302033,9950202461,MUKESH KUMAR CHOUDHARY,,YES,RECHARGE,GCMO,RECHARGE COUPON,E,GENERAL STORE,NONLIT,MULTI BRANDED,136
1056793,Gaurav Sales,BALAJI DEPARTMENTAL STORE,7770900011,"192/339, SECTOR 19, KUMBHA MARG, PRATAP NAGAR, JAIPUR",26.804384,75.822535,"SECTOR 19, KUMBHA MARG",India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302033,9950202571,AJAY KHANDELWAL,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,B,GENERAL STORE,NONLIT,MULTI BRANDED,85
1056793,Gaurav Sales,ABHISHEK DEPARTMENTAL STORE AND TELECOM CENTER,7770900012,"193/202, SECTOR 19, PRATAP NAGAR, JAIPUR",26.807284,75.836571,"NEAR NRI CIRCLE, KUMBHA MARG",India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302033,9887260728,ABHISHEK SOLANKI,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,A+,TELECOM,NONLIT,MULTI BRANDED,183
1056793,Gaurav Sales,JITENDRA KIRANA STORE,7770900012,"173/204, SECTOR 17, NRI CIRCLE, KUMBHA MARG, PRATAP NAGAR, JAIPUR",26.807523,75.835831,"NEAR NRI CIRCLE, KUMBHA MARG",India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302033,9950202572,JITENDRA KUMAR,,YES,RECHARGE,GCMO,RECHARGE COUPON,E,GENERAL STORE,NONLIT,MULTI BRANDED,40
1056793,Gaurav Sales,GUPTA MOBILE POINT,7770900013,"173/190, SECTOR 17, PRATAP NAGAR",26.810879,75.830875,"KUMBHA MARG, PRATAP NAGAR",India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302033,9784308813,DEVENDRA GUPTA,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,A+,TELECOM,GS   ,MULTI BRANDED,193
1056793,Gaurav Sales,AGARWAL'S HELLO INDIA,7770900013,"174/116, SECTOR 17, KUMBHA MARG, PRATAP NAGAR, JAIPUR",26.810132,75.82845,"KUMBHA MARG, PRATAP NAGAR",India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302033,9784498220,YOGESH GARG,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,A+,TELECOM,GS,MULTI BRANDED,96
1056793,Gaurav Sales,BALAJI MOBILE AND STATIONERS,7770900014,"192/11, SECTOR 19, PRATAP NAGAR, JAIPUR",26.804797,75.831722,"KUMBHA MARG, PRATAP NAGAR",India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302033,9414795521,SHYAM SUNDAR GOYAL,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,A+,OTHERS,GS,MULTI BRANDED,24
1056793,Gaurav Sales,SALASAR STATIONERS,7770900014,"180/6, SECTOR 18, PRATAP NAGAR, JAIPUR",26.802258,75.826479,"SECTOR 18, PRATAP NAGAR",India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302033,9929128660,MAHAVIR SWAMI,,YES,RECHARGE,GCMO,RECHARGE COUPON,E,OTHERS,NA,MULTI BRANDED,56
1056793,Gaurav Sales,SHRI RAM GIFT AND MOBILE SHOP,7770900015,"180/11, SECTOR 18, PRATAP NAGAR, JAIPUR",26.801578,75.827284,"SECTOR 18, PRATAP NAGAR",India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302033,9928587792,MANNA RAM,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,A,OTHERS,GS,MULTI BRANDED,101
1056793,Gaurav Sales,KANAK MOBILE POINT,7770900015,"180/4, SECTOR 18, PRATAP NAGAR, JAIPUR",26.802698,75.829569,"SECTOR 18, PRATAP NAGAR",India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302033,9414312407,MONESH KISHORE SAINI,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,C,OTHERS,GS,MULTI BRANDED,87
1056793,Gaurav Sales,DHEERAJ PHOTO STUDIO,7770900016,"180/139, SECTOR 18, PRATAP NAGAR, JAIPUR",26.801903,75.830374,"SECTOR 18, PRATAP NAGAR",India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302033,9351583197,DHEERAJ TURPANI,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,A,OTHERS,NA,MULTI BRANDED,197
1056793,Gaurav Sales,PYRAMID MOBILE WORLD,7770900016,"180/01, SECTOR 18, PRATAP NAGAR, JAIPUR",26.800878,75.831447,"SECTOR 18, PRATAP NAGAR",India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302033,9602420225,KISHORE PARWANI,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,A+,TELECOM,NONLIT,MULTI BRANDED,113
1056793,Gaurav Sales,STUDENT POINT,7770900017,"101/44, SHOP NO. 2, KUMBHA MARG, PRATAP NAGAR, JAIPUR",26.798013,75.824651,"SECTOR-10, PRATAP NAGAR",India,Rajasthan,JAIPUR,JAIPUR,JAIPUR,302033,9828912835,MANISH GUPTA,,YES,RECHARGE & ACTIVATION,GCMO,STARTER PACK AND RECHARGE,A,OTHERS,NA,MULTI BRANDED,23
